name,ra,dec,time_x,fluence,redshift
GRB 070729,56.31675,-39.32239,2007-07-29T00:25:53.913580,0.000000103,
GRB 070731,328.584,-15.743,2007-07-31T09:33:22.676340,0.000000167,
GRB 070802,36.8995,-55.52758,2007-08-02T07:07:25.872160,0.000000279,2.4541
GRB 070805,245.042,-59.959,2007-08-05T19:55:45.448360,0.000000708,
GRB 070808,6.764,1.17622,2007-08-08T18:28:00.545880,0.00000129,3.5
GRB 070809,203.76896,-22.14189,2007-08-09T19:22:17.375600,0.000000102,0.2187
GRB 070810A,189.9634,10.7512,2007-08-10T02:11:52.414980,0.000000672,2.17
GRB 070810B,8.955,8.819,2007-08-10T15:19:17.889760,1.64E-08,
GRB 070911,25.81,-33.48403,2007-09-11T05:57:44.087900,0.0000127,
GRB 070913,228.75542,-24.29306,2007-09-13T00:36:43.987920,0.000000149,
GRB 070917,293.91888,2.41122,2007-09-17T07:33:56.682320,0.00000211,2.4
GRB 070920A,100.959,72.242,2007-09-20T04:00:13.763940,0.000000522,
GRB 070920B,0.13012,-34.85133,2007-09-20T21:04:32.386340,0.000000695,
GRB 070923,184.625,-38.297,2007-09-23T19:15:23.687760,4.92E-08,
GRB 070925,253.21442,-22.02878,2007-09-25T15:52:32,,
GRB 071001,149.7336,-59.7818,2007-10-01T16:31:48.074080,0.000000786,
GRB 071003,301.8505,10.94772,2007-10-03T07:40:55.014420,0.00000835,1.6043
GRB 071006,335.282,-23.152,2007-10-06T06:41:40.128000,,
GRB 071008,151.58863,44.32158,2007-10-08T21:55:56.761900,0.00000025,
GRB 071010A,288.06093,-32.40199,2007-10-10T03:41:12.855120,0.000000202,0.985
GRB 071010B,150.5385,45.73047,2007-10-10T20:45:47.989540,0.00000445,0.947
GRB 071010C,338.078,66.155,2007-10-10T22:20:22.165000,,
GRB 071011,8.38638,61.1346,2007-10-11T12:40:13.844040,0.00000246,
GRB 071013,279.5,33.839,2007-10-13T12:09:19.055540,0.000000322,
GRB 071017,274.718,-16.001,2007-10-17T00:58:00,,
GRB 071018,164.833,53.804,2007-10-18T08:37:41.700440,0.00000105,
GRB 071020,119.66575,32.86122,2007-10-20T07:02:26.944040,0.00000234,2.1462
GRB 071021,340.64296,23.71847,2007-10-21T09:41:33.693520,0.00000136,2.452
GRB 071025,355.07116,31.77858,2007-10-25T04:08:53.685000,0.00000732,4.8
GRB 071028A,119.81933,21.48472,2007-10-28T17:41:01.676940,0.000000325,
GRB 071028B,354.20175,-31.60811,2007-10-28T02:43:46.000000,0.000000496,
GRB 071031,6.4053,-58.05956,2007-10-31T01:06:36.967720,0.000000899,2.6918
GRB 071101,48.17663,62.50058,2007-11-01T17:53:46.595880,7.02E-08,
GRB 071104,295.61175,14.61033,2007-11-04T11:41:23,,
GRB 071109,289.913,2.048,2007-11-09T20:36:05,,
GRB 071112B,260.198,-80.886,2007-11-12T18:23:31.530800,4.75E-08,
GRB 071112C,39.2122,28.3713,2007-11-12T18:32:57.540000,,0.8227
GRB 071117,335.04342,-63.44319,2007-11-17T14:50:06.911640,0.00000243,1.3308
GRB 071118,299.71583,70.12478,2007-11-18T08:57:17.629920,0.000000664,5
GRB 071122,276.60512,47.07536,2007-11-22T01:23:25.621540,0.000000634,1.14
GRB 071129,220.043,-26.667,2007-11-29T00:03:55.301720,0.00000369,3.5
